fname	inst_name	time	from_to	item	amount
367000solu.dat	367000	2->3	5->9	(107,	vid)	115.2
367000solu.dat	367000	3->4	107->5	(107,	vid)	115.2
367000solu.dat	367000	3->4	117->7	(117,	vid)	115.2
367000solu.dat	367000	3->4	6->9	(103,	vid)	115.2
367000solu.dat	367000	4->5	7->9	(117,	vid)	115.2
367000solu.dat	367000	5->6	107->5	(107,	vid)	115.2
367000solu.dat	367000	5->6	5->9	(107,	vid)	115.2
367000solu.dat	367000	6->7	103->6	(103,	vid)	115.2
367000solu.dat	367000	6->7	5->9	(107,	vid)	115.2
367000solu.dat	367000	7->8	107->5	(107,	vid)	115.2
367000solu.dat	367000	7->8	6->9	(103,	vid)	115.2
367000solu.dat	367000	8->9	107->5	(107,	vid)	115.2
367000solu.dat	367000	8->9	5->9	(107,	vid)	115.2
367000solu.dat	367000	9->10	107->5	(107,	vid)	115.2
367000solu.dat	367000	9->10	5->9	(107,	vid)	115.2
367000solu.dat	367000	10->11	107->5	(107,	vid)	115.2
367000solu.dat	367000	10->11	5->9	(107,	vid)	115.2
367000solu.dat	367000	11->12	107->5	(107,	vid)	115.2
367000solu.dat	367000	11->12	5->9	(107,	vid)	115.2
367000solu.dat	367000	12->13	113->5	(113,	vid)	115.2
367000solu.dat	367000	12->13	5->9	(107,	vid)	115.2
367000solu.dat	367000	13->14	113->5	(113,	vid)	115.2
367000solu.dat	367000	13->14	5->9	(113,	vid)	115.2
367000solu.dat	367000	14->15	113->5	(113,	vid)	115.2
367000solu.dat	367000	14->15	5->9	(113,	vid)	115.2
367000solu.dat	367000	15->16	113->5	(113,	vid)	115.2
367000solu.dat	367000	15->16	5->9	(113,	vid)	115.2
367000solu.dat	367000	16->17	113->5	(113,	vid)	115.2
367000solu.dat	367000	16->17	5->9	(113,	vid)	115.2
367000solu.dat	367000	17->18	113->5	(113,	vid)	115.2
367000solu.dat	367000	17->18	5->9	(113,	vid)	115.2
367000solu.dat	367000	18->19	113->5	(113,	vid)	115.2
367000solu.dat	367000	18->19	5->9	(113,	vid)	115.2
367000solu.dat	367000	19->20	113->5	(113,	vid)	115.2
367000solu.dat	367000	19->20	5->9	(113,	vid)	115.2
367000solu.dat	367000	20->21	113->5	(113,	vid)	115.2
367000solu.dat	367000	20->21	5->9	(113,	vid)	115.2
367000solu.dat	367000	21->22	113->5	(113,	vid)	115.2
367000solu.dat	367000	21->22	5->9	(113,	vid)	115.2
367000solu.dat	367000	22->23	113->5	(113,	vid)	115.2
367000solu.dat	367000	22->23	5->9	(113,	vid)	115.2
367000solu.dat	367000	23->24	113->5	(113,	vid)	115.2
